"Source:","/home/gustavo/SM13/Esquema/principal_sm13.sch"
"Date:","jue 20 ago 2020 00:38:13 -03"
"Tool:","Eeschema 5.1.6-c6e7f7d~86~ubuntu16.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","66"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7"
"","","R16","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"","","R17","1K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"","","R18","1K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"","","R19","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"","","R20","10K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"","","R21","12K","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"","","R30","560","Device:R","Resistor_SMD:R_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"","","U1","AD8397ARZ","AD8397ARZ:AD8397ARZ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Analog Devices","AD8397ARZ","1078284","19M1201","SOIC-8"
"","","U2","AD8397ARZ","AD8397ARZ:AD8397ARZ","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","Analog Devices","AD8397ARZ","1078284","19M1201","SOIC-8"
"","","X1","8.192MHz","Device:Crystal","Crystal:Crystal_SMD_HC49-SD_HandSoldering","~","","","",""
"","","X2","8.192MHz","Device:Crystal","Crystal:Crystal_SMD_HC49-SD_HandSoldering","~","","","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Field4","Field5","Field6","Field7"
"1","2","AD1, AD2","AD2S1210","AD2S1210:AD2S1210","Package_QFP:LQFP-48-1EP_7x7mm_P0.5mm_EP3.6x3.6mm","","","","",""
"2","6","C1, C7, C13, C14, C20, C25","4,7µ","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"3","8","C2, C4, C6, C12, C15, C17, C19, C24","10n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"4","4","C3, C11, C16, C23","120p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"5","2","C5, C18","10µ","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"6","1","C8","100n","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"7","4","C9, C10, C21, C22","20p","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"8","5","D1, D2, D3, D4, D5","LED","Device:LED","LED_SMD:LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
